Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$3.51,0.34,10.726%,10529719.00,United States,,30644,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.136,0.00,0.00%,18662111.00,Canada,2015,72403,,
ACU,Acme United Corporation. Common Stock,$31.02,-0.04,-0.129%,111208871.00,United States,1988,8695,Consumer Discretionary,Industrial Machinery/Components
ADEX,Adit EdTech Acquisition Corp. Common Stock,$10.75,0.00,0.00%,95675280.00,,2021,33,Technology,EDP Services
ADRT,Ault Disruptive Technologies Corporation Common Stock,$12.10,0.07,0.582%,173937500.00,,2022,8127,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$30.99,0.29,0.945%,78914207.00,United States,1980,24010,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$4.69,0.07,1.515%,503530125.00,United States,,14383,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$4.18,-0.23,-5.215%,155310140.00,United States,,9905,Health Care,Biotechnology: Pharmaceutical Preparations
AGE,AgeX Therapeutics Inc. Common Stock,$0.593,-0.017,-2.787%,22505098.00,,2018,13014,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.423,-0.007,-1.628%,20587591.00,United States,1997,45496,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$5.29,-0.61,-10.339%,17004478.00,United States,2014,534,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$3.00,-0.19,-5.956%,9869481.00,United States,,1539,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$5.90,0.25,4.425%,327036115.00,,,13224,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.13,-0.006,-4.412%,3388289.00,China,,130713,Real Estate,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$2.76,0.00,0.00%,2084007.00,United States,2022,25402,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.22,0.0268,1.222%,13861680.00,United States,1988,27089,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.30,-0.09,-2.05%,50082513.00,Canada,2000,21296,Health Care,Industrial Specialties
AREN,The Arena Group Holdings Inc. Common Stock,$3.50,-0.50,-12.50%,83268035.00,United States,2022,32100,Health Care,Medical/Dental Instruments
ARMN,Aris Mining Corporation Common Shares,$2.44,-0.02,-0.813%,336312374.00,,2023,40985,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.58,0.20,8.403%,93208449.00,United States,,8117,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.4219,-0.0257,-5.742%,51532156.00,Canada,,618929,Basic Materials,Metal Mining
ASXC,Asensus Surgical Inc. Common Stock,$0.21,-0.011,-4.977%,55413723.00,United States,,962777,Health Care,Medical/Dental Instruments
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$10.78,0.00,0.00%,0.00,,2022,961,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$4.41,-0.26,-5.567%,120893275.00,United States,,300743,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.112,-0.0114,-9.238%,1185447.00,United States,1997,6794547,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$19.99,0.28,1.421%,,United States,,2382,,
AUMN,Golden Minerals Company Common Stock,$0.491,0.031,6.739%,4209467.00,United States,,525148,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.64,-0.02,-3.03%,8492800.00,,2022,13237,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.0708,0.0708,3.54%,6808059.00,United States,1998,1355,Utilities,Environmental Services
AZTR,Azitra Inc Common Stock,$1.75,-0.12,-6.417%,21170875.00,,2023,25124,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$6.53,-0.32,-4.672%,107461356.00,United States,,11299,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$14.38,0.045,0.314%,0.00,United States,1972,24677,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.09,-0.21,-0.942%,,United States,,4148,,
BDL,Flanigan's Enterprises Inc. Common Stock,$27.411,-1.089,-3.821%,50947373.00,United States,1972,7028,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$4.18,0.17,4.239%,0.00,,2023,16347,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$3.98,0.02,0.505%,43660600.00,Canada,,989,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$25.55,0.34,1.349%,387235059.00,United States,1997,23103,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$13.82,-0.275,-1.951%,53582711.00,,2022,3703,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$10.72,0.00,0.00%,0.00,,2021,94,Finance,Blank Checks
BKTI,BK Technologies Corporation Common Stock,$13.20,-0.57,-4.139%,44935678.00,United States,,20163,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$10.50,0.00,0.00%,0.00,,2021,30,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$2.40,-0.05,-2.041%,28488708.00,,2018,9066,Technology,EDP Services
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$2.81,-0.19,-6.333%,18287921.00,,2020,1049,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$2.65,0.09,3.516%,50856309.00,United States,,137064,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.43,0.00,0.00%,24277591.00,United States,1965,13022,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.01,-0.03,-0.987%,3899232260.00,Canada,,6388142,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$0.2137,-0.0038,-1.747%,6534337.00,,2021,65623,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.1847,-0.1453,-44.03%,6540767.00,,2020,2104604,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.94,-0.07,-3.483%,7902373.00,Israel,,5170,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$0.235,-0.0271,-10.34%,65934191.00,United States,,627717,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$5.15,-0.04,-0.771%,42676943.00,United States,2022,19839,Health Care,Managed Health Care
CCF,Chase Corporation Common Stock,$127.44,0.04,0.031%,1211488479.00,United States,1995,363104,Consumer Discretionary,Building Products
CEI,Camber Energy Inc. Common Stock,$0.3009,0.0089,3.048%,26614512.00,United States,,1997544,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$35.16,-1.17,-3.22%,8509606032.00,United States,1951,29535,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$9.38,0.02,0.214%,65974934.00,United States,1999,51935,Finance,Investment Bankers/Brokers/Service
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$10.97,0.00,0.00%,0.00,,2021,1,Finance,Blank Checks
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.685,0.015,0.562%,0.00,United States,,82323,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$20.44,1.68,8.955%,251693193.00,United States,1998,5462,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$12.4499,-0.0501,-0.401%,24581419.00,United States,2003,1664,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$2.00,-0.03,-1.478%,0.00,,2021,4979,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.23,-0.01,-0.138%,0.00,United States,2003,1277123,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$10.72,0.03,0.281%,205716800.00,Canada,,40926,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$16.81,-0.37,-2.154%,151974234.00,United States,1996,122104,Consumer Discretionary,Electronic Components
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$7.82,0.03,0.385%,44028711.00,China,2016,1487,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$7.57,-0.21,-2.699%,13787597.00,United States,,3419,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.0893,-0.0027,-2.935%,1020949.00,China,,394723,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Common Units,$56.33,-1.01,-1.761%,27265923799.00,United States,2007,217891,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.16,0.02,0.28%,0.00,United States,2003,683739,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$18.83,0.24,1.291%,176887551.00,United States,2021,10031,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.35,0.0829,31.037%,16633667.00,,2022,725289,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.34,-0.05,-2.092%,110588627.00,United States,1997,744719,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$17.00,-0.50,-2.857%,16424244.00,United States,1930,261,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$3.0201,0.0397,1.332%,38171781.00,United States,2022,10323,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.428,-0.0774,-15.315%,102715144.00,Canada,,13268701,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$2.43,-0.02,-0.816%,191376728.00,United States,2022,167600,Basic Materials,Precious Metals
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.92,0.01,0.524%,0.00,United States,1998,217526,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$181.00,-8.00,-4.233%,114095522.00,United States,1999,84,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$8.39,0.13,1.574%,58814068.00,United States,2000,86181,Consumer Staples,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$5.89,0.06,1.029%,366893130.00,United States,1988,35829,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.51,0.00,0.00%,0.00,,2022,62683,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.59,0.02,1.274%,1328902157.00,Canada,,7944924,Basic Materials,Other Metals and Minerals
DPSI,DecisionPoint Systems Inc. Common Stock,$5.25,0.0999,1.94%,40045247.00,,2022,7604,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$0.14,-0.004,-2.778%,19636995.00,United States,,133934,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.305,-0.0358,-10.505%,662395.00,China,,193643,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.04,-0.02,-0.33%,0.00,United States,2003,619289,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$7.47,0.06,0.81%,0.00,United States,1986,13074,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.98,0.01,0.046%,,United States,,3464,,
EFSH,1847 Holdings LLC Common Shares,$0.5011,-0.0389,-7.204%,1531691.00,,2022,46513,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.25,0.08,0.872%,0.00,United States,2002,260399,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$3.22,-0.12,-3.593%,85974000.00,United States,,91992,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$12.17,0.00,0.00%,156384500.00,Israel,,793,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.25,0.34,3.431%,87962189.00,United States,2011,18371,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.64,-0.04,-2.381%,184014626.00,Canada,,130363,Basic Materials,Metal Mining
ENSV,Enservco Corporation Common Stock,$0.3449,0.0119,3.574%,7912182.00,United States,,208279,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.72,0.05,0.577%,0.00,United States,2002,14700,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$6.39,0.67,11.713%,145204954.00,United States,2022,79064,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.81,0.13,2.289%,194230932.00,United States,,316593,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$4.56,-0.03,-0.654%,1427193054.00,Canada,,1428309,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.13,0.00,0.00%,0.00,United States,2003,55853,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$8.63,0.04,0.466%,0.00,,2004,9566,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$17.21,0.43,2.563%,46581154.00,United States,1960,4436,Technology,Industrial Machinery/Components
EU,enCore Energy Corp. Common Shares,$3.30,0.08,2.484%,516574852.00,,2023,893909,Basic Materials,Other Metals and Minerals
EVBN,Evans Bancorp Inc. Common Stock,$27.22,0.65,2.446%,149263347.00,United States,,10886,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$10.7304,0.00,0.00%,0.00,,2022,13,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$24.48,0.36,1.493%,308109637.00,United States,1999,9953,Industrials,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.29,0.02,0.242%,0.00,United States,2002,209898,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$8.88,-0.11,-1.224%,0.00,United States,2003,311405,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.54,0.02,0.794%,0.00,United States,1986,638207,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.86,-0.18,-2.98%,0.00,United States,1992,47535,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.26,-0.09,-0.627%,0.00,United States,2004,34597,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$1.19,-0.14,-10.526%,23369515.00,United States,,82107,Consumer Discretionary,Industrial Machinery/Components
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.3564,-0.0144,-3.883%,2279831.00,,2022,393172,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$11.41,0.33,2.978%,84151968.00,United States,1975,15106,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$1.88,0.01,0.535%,23378800.00,Canada,2002,11921,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$2.12,-0.03,-1.395%,219272348.00,United States,,395812,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.085,0.025,0.413%,245866701.00,United States,2003,47078,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.3319,-0.0011,-0.33%,48307199.00,,2020,103496,,
GAU,Galiano Gold Inc.,$0.52,-0.0075,-1.422%,116970596.00,Canada,,60514,,
GBR,New Concept Energy Inc Common Stock,$1.12,0.00,0.00%,5747766.00,United States,1993,6308,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$14.04,0.17,1.226%,205794136.00,United States,,12355,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.65,0.06,1.671%,0.00,United States,2005,670095,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$21.2701,-0.1899,-0.885%,,United States,,488,,
GLDG,GoldMining Inc. Common Shares,$0.7884,0.0068,0.87%,139419301.00,,,394903,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$4.46,0.04,0.905%,0.00,United States,2006,90397,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$5.61,0.095,1.723%,0.00,United States,2005,44843,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$11.97,0.195,1.656%,71447865.00,United States,2004,11124,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$47.77,-0.13,-0.271%,,United States,,838,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.3001,0.0401,0.08%,,United States,,256,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.0294,0.0694,1.399%,63921577.00,United States,2004,18046,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.5906,0.058,10.89%,30061574.00,Singapore,2022,2481606,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$0.2648,-0.0258,-8.878%,23486181.00,United States,,944142,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.55,-0.07,-0.812%,0.00,United States,,3725,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.18,0.01,0.855%,917387342.00,,2022,13873,,
GROY,Gold Royalty Corp. Common Shares,$1.30,-0.02,-1.515%,188461371.00,Canada,2021,355430,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.37,0.05,3.788%,2603000000.00,United States,2006,3407906,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$6.21,0.12,1.97%,206720374.00,Canada,,243676,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.72,0.22,2.095%,0.00,,2022,18688,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$10.29,0.07,0.685%,0.00,United States,2007,12941,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.82,-0.01,-0.546%,19849562.00,United States,,108892,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$52.52,0.00,0.00%,,United States,,188,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$3.77,0.00,0.00%,0.00,United States,1985,41893,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.30,0.01,0.775%,360195295.00,,2022,1655276,,
IBIO,iBio Inc. Common Stock,$0.2766,-0.0035,-1.25%,7630426.00,United States,,225084,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.091,-0.006,-6.186%,3194332.00,United States,2017,1789975,Miscellaneous,Diversified Commercial Services
IDR,Idaho Strategic Resources Inc. Common Stock,$5.01,0.13,2.664%,61405180.00,,2022,10143,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.92,-0.13,-1.294%,1029536338.00,Canada,2022,402799,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.295,-0.006,-1.993%,15905398.00,United States,,73524,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.2269,0.0469,3.975%,11049714.00,United States,1999,2582,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$56.02,1.26,2.301%,32724251060.00,Canada,1929,328416,Energy,Integrated oil Companies
